name,phone,company,postcode,area,segment,tier,corporate_group,corporate_group_name,website,director_names,notes
ALDERWOOD ESTATE AGENTS LIMITED,0447314999999974816091707907617092132568359375,ALDERWOOD ESTATE AGENTS LIMITED,B92 8NF,Solihull,Street.co.uk confirmed,Tier 1 - CRM integration ready,No,,https://alderwoodestates.co.uk/,Jack Paul Williams (director); Hayley Jane Williams (director); Paul Williams (director),
GLOVERS ESTATE AGENTS LTD,01214434343,GLOVERS ESTATE AGENTS LTD,B14 7BB,Kings Heath,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://www.glovers.uk.com/,Michael Glover (director); Michael Duke (director),
COTTONS ESTATE AGENTS LIMITED,01212472233,COTTONS ESTATE AGENTS LIMITED,B17 8DL,Harborne,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://www.cottons.co.uk,Richard David Longden (director); Andrew James Barden (director); John Day (director); Peter Charles Longden (director); Mark Maxwell Ward (director),
HADLEIGH ESTATE AGENTS LIMITED,01214271213,HADLEIGH ESTATE AGENTS LIMITED,B17 9QG,Harborne,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://hadleighuk.com/,Dominic Cole (director); Alexia-Anne Willetts (director); Jasver Singh Suthi (director); Michael John England-Kerr (director); Stuart John Mosley (director),
FAIRMANS ESTATE AGENTS LTD,044206025976,FAIRMANS ESTATE AGENTS LTD,B25 8LT,Yardley,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://fairmansestateagents.co.uk/,Nadeem Mazhar (director),website unreachable; website unreachable
BARRATT LAST ESTATE AGENTS LIMITED,03430035817,BARRATT LAST ESTATE AGENTS LIMITED,B36 0JG,Hodge Hill,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://www.barrattlast.co.uk,Leigh Martyn Barratt (director); Martyn Charles Last (director); Rachel Margaret Taylor (director); Martin Paul Canning (director); Terence Malcolm Mills (director),
ARDEN ESTATE AGENTS LIMITED,01216876777,ARDEN ESTATE AGENTS LIMITED,B36 8DT,Hodge Hill,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://www.ardenestateagents.co.uk/,Hayley Jane Williams (director); Tina Bennett-Rice (director); Barbara Kahan (director); Paul Vincent Williams (director),
BIRMINGHAM ESTATE AGENCY LIMITED,0003811024,BIRMINGHAM ESTATE AGENCY LIMITED,B37 7YB,Solihull,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://birminghamestateagency.co.uk/,Joginderpal Singh Chana (director),
EDWARDS AND GRAY ESTATE AGENTS LTD,0952266300,EDWARDS AND GRAY ESTATE AGENTS LTD,B46 1AY,Coleshill,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://edwardsandgray.co.uk/,Charlotte Lucy Edwards (director); Emma Louise Gray (director),
CHAMBERS ESTATE AGENTS LTD,01216795187,CHAMBERS ESTATE AGENTS LTD,B46 1ST,Coleshill,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://www.chambersproperty.net/,Claire Chambers (director),
HARVEYS ESTATE AGENTS LIMITED,01213080221,HARVEYS ESTATE AGENTS LIMITED,B75 5BL,B75,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://www.harveys-property.co.uk/,Rebecca Thursfield (director); Charles William Thursfield (director); Charlotte Thursfield (director); Creditreform Secretaries Limited (director); Creditreform Limited (director),
BARTLEY'S ESTATE AGENTS LTD,01217093300,BARTLEY'S ESTATE AGENTS LTD,B91 3SX,Solihull,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,https://www.bartleys-uk.com/,Charlotte Bartley (director); Mark Bartley (director); Duport Secretary Limited (director); Duport Director Limited (director),
